Wyniki egzaminu
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| PID   | Ocena Przewodnicz.A  | Ocena Cz2A      | Ocena Cz3A      | Śr. Praktyka | Ocena Przewodnicz.B  | Ocena Cz2B      | Ocena Cz3B      | Śr. Teoria  | Ocena Końcowa |
| 19789 | 4.5                  | 4.0             | 3.0             | 4.0          | 4.0                  | 5.0             | 4.5             | 4.5          | 4.5           |
| 19801 | 5.0                  | 3.0             | 5.0             | 4.5          | 3.0                  | 4.5             | 3.5             | 4.0          | 4.5           |
| 19799 | 3.5                  | 5.0             | 3.5             | 4.0          | 5.0                  | 3.5             | 5.0             | 4.5          | 4.5           |
| 19798 | 4.5                  | 3.0             | 3.5             | 4.0          | 3.0                  | 3.0             | 4.0             | 3.5          | 4.0           |
| 19805 | 3.0                  | 4.5             | 4.5             | 4.0          | 3.5                  | 4.0             | 4.0             | 4.0          | 4.0           |
| 19800 | 3.0                  | 3.0             | 2.0             | 2.0          | 0.0                  | 0.0             | 0.0             | 0.0          | 2.0           |
| 19804 | 3.5                  | 4.0             | 3.5             | 4.0          | 5.0                  | 4.0             | 4.5             | 4.5          | 4.5           |
| 19808 | 5.0                  | 3.5             | 3.5             | 4.0          | 4.0                  | 3.0             | 2.0             | 2.0          | 2.0           |
| 19807 | 5.0                  | 3.0             | 4.0             | 4.0          | 4.5                  | 4.5             | 4.0             | 4.5          | 4.5           |
| 19785 | 5.0                  | 4.5             | 5.0             | 5.0          | 4.0                  | 3.0             | 4.5             | 4.0          | 4.5           |
| 19810 | 5.0                  | 5.0             | 3.0             | 4.5          | 5.0                  | 4.0             | 5.0             | 5.0          | 5.0           |
| 19796 | 4.0                  | 5.0             | 5.0             | 5.0          | 2.0                  | 3.0             | 3.5             | 2.0          | 2.0           |
| 19797 | 3.5                  | 5.0             | 4.0             | 4.5          | 5.0                  | 3.5             | 4.5             | 4.5          | 4.5           |
| 19793 | 4.5                  | 3.5             | 3.0             | 4.0          | 3.5                  | 4.0             | 5.0             | 4.5          | 4.5           |
| 19812 | 4.5                  | 3.0             | 5.0             | 4.5          | 3.0                  | 5.0             | 5.0             | 4.5          | 4.5           |
| 19806 | 3.5                  | 3.0             | 4.5             | 4.0          | 3.0                  | 5.0             | 4.5             | 4.5          | 4.5           |
| 19802 | 3.0                  | 4.5             | 5.0             | 4.5          | 5.0                  | 4.5             | 5.0             | 5.0          | 5.0           |
| 19803 | 3.5                  | 5.0             | 3.5             | 4.0          | 5.0                  | 3.5             | 4.0             | 4.5          | 4.5           |
| 19813 | 4.5                  | 3.0             | 3.5             | 4.0          | 4.5                  | 3.0             | 4.0             | 4.0          | 4.0           |
| 19814 | 3.0                  | 3.5             | 5.0             | 4.0          | 3.5                  | 3.5             | 3.5             | 3.5          | 4.0           |
| 19815 | 3.5                  | 3.0             | 5.0             | 4.0          | 5.0                  | 3.5             | 5.0             | 4.5          | 4.5           |
| 19786 | 5.0                  | 3.5             | 4.5             | 4.5          | 5.0                  | 3.5             | 4.5             | 4.5          | 4.5           |
| 19818 | 4.5                  | 3.5             | 4.5             | 4.5          | 4.0                  | 3.0             | 4.5             | 4.0          | 4.5           |
| 19816 | 5.0                  | 5.0             | 5.0             | 5.0          | 3.0                  | 3.5             | 4.5             | 4.0          | 4.5           |
| 19821 | 4.5                  | 5.0             | 3.5             | 4.5          | 4.0                  | 3.0             | 4.0             | 4.0          | 4.5           |
| 19794 | 5.0                  | 3.5             | 3.0             | 4.0          | 4.5                  | 4.0             | 3.5             | 4.0          | 4.0           |
| 19817 | 3.0                  | 3.0             | 4.5             | 3.5          | 4.5                  | 4.5             | 3.5             | 4.5          | 4.0           |
| 19819 | 4.0                  | 4.0             | 2.0             | 2.0          | 0.0                  | 0.0             | 0.0             | 0.0          | 2.0           |
| 19822 | 4.0                  | 5.0             | 3.5             | 4.5          | 3.0                  | 3.0             | 5.0             | 4.0          | 4.5           |
| 19809 | 2.0                  | 4.5             | 3.0             | 2.0          | 0.0                  | 0.0             | 0.0             | 0.0          | 2.0           |
| 19820 | 4.0                  | 4.5             | 4.5             | 4.5          | 5.0                  | 2.0             | 3.0             | 2.0          | 2.0           |
| 19823 | 3.5                  | 4.0             | 3.0             | 3.5          | 4.5                  | 3.0             | 3.0             | 3.5          | 3.5           |
| 19826 | 3.5                  | 4.0             | 4.5             | 4.0          | 2.0                  | 3.5             | 4.5             | 2.0          | 2.0           |
| 19824 | 4.0                  | 4.0             | 3.0             | 4.0          | 4.0                  | 4.0             | 5.0             | 4.5          | 4.5           |
| 19825 | 3.0                  | 3.0             | 3.5             | 3.5          | 3.0                  | 5.0             | 2.0             | 2.0          | 2.0           |
| 19827 | 4.5                  | 3.0             | 4.0             | 4.0          | 3.5                  | 3.5             | 3.5             | 3.5          | 4.0           |
| 19811 | 5.0                  | 5.0             | 3.5             | 4.5          | 4.5                  | 4.5             | 5.0             | 5.0          | 5.0           |
| 19829 | 3.5                  | 5.0             | 4.5             | 4.5          | 4.0                  | 3.0             | 3.5             | 3.5          | 4.0           |
| 19830 | 4.0                  | 3.0             | 4.5             | 4.0          | 3.0                  | 4.0             | 4.5             | 4.0          | 4.0           |
| 19831 | 3.5                  | 4.5             | 3.5             | 4.0          | 5.0                  | 4.5             | 3.0             | 4.5          | 4.5           |
| 19834 | 3.0                  | 2.0             | 2.0             | 2.0          | 0.0                  | 0.0             | 0.0             | 0.0          | 2.0           |
| 19836 | 3.5                  | 5.0             | 3.0             | 4.0          | 4.5                  | 3.0             | 4.0             | 4.0          | 4.0           |
| 19837 | 4.0                  | 4.5             | 5.0             | 4.5          | 3.5                  | 3.0             | 4.0             | 3.5          | 4.0           |
| 19832 | 3.5                  | 3.0             | 4.5             | 4.0          | 3.0                  | 4.5             | 4.5             | 4.0          | 4.0           |
| 19840 | 4.0                  | 3.0             | 4.5             | 4.0          | 4.5                  | 3.5             | 4.5             | 4.5          | 4.5           |
| 19841 | 3.0                  | 4.0             | 5.0             | 4.0          | 4.0                  | 3.0             | 5.0             | 4.0          | 4.0           |
| 19848 | 4.5                  | 3.5             | 4.5             | 4.5          | 4.0                  | 5.0             | 4.5             | 4.5          | 4.5           |
| 19847 | 4.5                  | 4.0             | 4.5             | 4.5          | 3.5                  | 3.5             | 3.5             | 3.5          | 4.0           |
| 19833 | 4.0                  | 3.0             | 5.0             | 4.0          | 2.0                  | 5.0             | 5.0             | 2.0          | 2.0           |
| 19851 | 3.0                  | 5.0             | 4.0             | 4.0          | 4.5                  | 3.5             | 4.5             | 4.5          | 4.5           |
| 19853 | 3.5                  | 3.0             | 2.0             | 2.0          | 0.0                  | 0.0             | 0.0             | 0.0          | 2.0           |
| 19854 | 3.0                  | 3.5             | 4.0             | 3.5          | 3.0                  | 3.5             | 4.0             | 3.5          | 3.5           |
| 19855 | 5.0                  | 4.0             | 4.0             | 4.5          | 5.0                  | 4.5             | 3.0             | 4.5          | 4.5           |
| 19844 | 4.5                  | 4.5             | 3.5             | 4.5          | 3.5                  | 3.5             | 3.5             | 3.5          | 4.0           |
| 19858 | 4.5                  | 3.0             | 3.5             | 4.0          | 4.0                  | 5.0             | 3.5             | 4.5          | 4.5           |
| 19862 | 4.5                  | 3.5             | 3.0             | 4.0          | 3.0                  | 4.0             | 3.5             | 3.5          | 4.0           |
| 19856 | 2.0                  | 3.0             | 5.0             | 2.0          | 0.0                  | 0.0             | 0.0             | 0.0          | 2.0           |
| 19842 | 3.0                  | 5.0             | 4.5             | 4.5          | 3.0                  | 3.5             | 5.0             | 4.0          | 4.5           |
| 19861 | 4.5                  | 5.0             | 2.0             | 2.0          | 0.0                  | 0.0             | 0.0             | 0.0          | 2.0           |
| 19863 | 4.0                  | 4.5             | 3.0             | 4.0          | 5.0                  | 4.5             | 4.5             | 5.0          | 4.5           |
| 19870 | 4.0                  | 4.0             | 4.0             | 4.0          | 4.0                  | 4.0             | 4.5             | 4.5          | 4.5           |
| 19866 | 5.0                  | 3.5             | 3.5             | 4.0          | 3.5                  | 4.0             | 4.0             | 4.0          | 4.0           |
| 19828 | 3.5                  | 3.0             | 5.0             | 4.0          | 4.5                  | 3.5             | 5.0             | 4.5          | 4.5           |
| 19871 | 4.5                  | 3.0             | 5.0             | 4.5          | 5.0                  | 5.0             | 4.5             | 5.0          | 5.0           |
| 19868 | 4.0                  | 5.0             | 4.5             | 4.5          | 4.5                  | 3.5             | 2.0             | 2.0          | 2.0           |
| 19838 | 4.0                  | 4.0             | 5.0             | 4.5          | 3.5                  | 2.0             | 3.5             | 2.0          | 2.0           |
| 19850 | 3.0                  | 3.0             | 4.5             | 3.5          | 4.0                  | 3.5             | 3.5             | 4.0          | 4.0           |
| 19843 | 3.0                  | 2.0             | 4.5             | 2.0          | 0.0                  | 0.0             | 0.0             | 0.0          | 2.0           |
| 19875 | 3.0                  | 3.0             | 4.5             | 3.5          | 2.0                  | 4.5             | 4.0             | 2.0          | 2.0           |
| 19852 | 4.0                  | 5.0             | 3.5             | 4.5          | 4.5                  | 3.5             | 4.5             | 4.5          | 4.5           |
| 19873 | 3.5                  | 3.0             | 5.0             | 4.0          | 4.0                  | 3.5             | 2.0             | 2.0          | 2.0           |
| 19874 | 3.0                  | 4.5             | 4.5             | 4.0          | 4.5                  | 3.0             | 4.0             | 4.0          | 4.0           |
| 19845 | 3.0                  | 3.5             | 4.0             | 3.5          | 4.0                  | 5.0             | 3.0             | 4.0          | 4.0           |
| 19835 | 4.5                  | 3.5             | 3.0             | 4.0          | 4.5                  | 4.0             | 5.0             | 4.5          | 4.5           |
| 19865 | 5.0                  | 5.0             | 4.5             | 5.0          | 2.0                  | 5.0             | 4.0             | 2.0          | 2.0           |
| 19864 | 4.5                  | 3.5             | 3.0             | 4.0          | 4.5                  | 4.5             | 3.5             | 4.5          | 4.5           |
| 19857 | 4.5                  | 4.5             | 5.0             | 5.0          | 5.0                  | 3.0             | 4.5             | 4.5          | 5.0           |
| 19846 | 3.0                  | 2.0             | 5.0             | 2.0          | 0.0                  | 0.0             | 0.0             | 0.0          | 2.0           |
| 19869 | 5.0                  | 3.5             | 2.0             | 2.0          | 0.0                  | 0.0             | 0.0             | 0.0          | 2.0           |
| 19867 | 4.0                  | 3.5             | 3.0             | 3.5          | 4.0                  | 2.0             | 3.0             | 2.0          | 2.0           |
| 19859 | 4.5                  | 4.0             | 4.0             | 4.5          | 3.5                  | 3.5             | 4.0             | 4.0          | 4.5           |
| 19876 | 5.0                  | 4.0             | 3.0             | 4.0          | 3.0                  | 3.5             | 5.0             | 4.0          | 4.0           |
| 19839 | 2.0                  | 3.0             | 3.0             | 2.0          | 0.0                  | 0.0             | 0.0             | 0.0          | 2.0           |
| 19849 | 4.5                  | 4.0             | 3.5             | 4.0          | 5.0                  | 4.0             | 3.5             | 4.5          | 4.5           |
| 19860 | 3.5                  | 4.5             | 4.0             | 4.0          | 4.0                  | 3.5             | 5.0             | 4.5          | 4.5           |
| 19872 | 4.0                  | 3.0             | 4.5             | 4.0          | 4.0                  | 3.0             | 3.5             | 3.5          | 4.0           |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
